时间,商品名称,库存变化,单笔销量
2026-05-08 12:36:32,kkt,初始库存:-2，2,
2026-05-08 13:48:50,line,初始库存:-2,2.0
2026-05-08 13:21:20,kkt,-2 -> -32,30.0
2026-05-08 13:21:20,kkt,-32 -> -62,30.0
2026-05-08 13:23:08,kkt,-62 -> -92,30.0
2026-05-08 13:32:59,kkt,-92 -> -95,3.0
2026-05-08 14:41:03,kkt,-95 -> -98,3.0
2026-05-08 15:57:51,kkt,-98 -> -109,11.0
2026-05-08 17:32:25,line,-2 -> -123,121.0
2026-05-08 15:57:51,kkt,-109 -> -110,1.0
2026-05-08 20:35:26,kkt,-110 -> -140,30.0
2026-05-09 09:19:07,kkt,-140 -> -200,60.0
2026-05-09 13:13:14,kkt,-200 -> -326,126.0
2026-05-09 13:37:06,kkt,-326 -> -327,1.0
2026-05-09 14:23:14,kkt,-327 -> -393,66.0
2026-05-09 15:06:00,kkt,-393 -> -394,1
